n,Algorithm A (ns),Algorithm B (ns)
1,1036000,49082400
2,601300,37750800
3,209100,8169500
4,206200,9352400
5,500300,7773500
6,207200,7996500
7,308100,7877700
8,176900,7816600
9,77500,8129400
10,155200,9302900
11,101100,9658900
12,223800,10454600
13,110100,11451500
14,6100,9356000
15,6100,8464400
16,6400,7971300
17,6100,10400800
18,6400,7709800
19,6100,8522400
20,6000,8112500
21,6800,9799300
22,6100,7676900
23,6000,8881600
24,6600,7626900
25,6500,8954200
26,6000,8094200
27,6600,9010800
28,6400,7724600
29,6100,8945100
30,5900,8883500
31,12800,7520100
32,6000,9123600
33,8500,7482500
34,6000,8308100
35,6000,7647800
36,5800,11101100
37,6100,9087600
38,6000,7434500
39,5800,9026800
40,7300,12397100
41,7400,12416200
42,6500,9055300
43,6500,8599500
44,6900,8985600
45,6200,8240900
46,6800,9586000
47,6500,9171100
48,12800,7550700
49,6400,9137100
50,6400,7469500
51,6100,10467900
52,7700,7963100
53,8700,8271700
54,6100,8685700
55,6300,7770300
56,6400,9328300
57,6600,7676900
58,6100,8669700
59,6300,7436000
60,6000,8538800
61,6200,8529100
62,6400,7763000
63,6100,8008100
64,6500,9333200
65,13400,9211100
66,6700,9280300
67,6100,10404900
68,6500,8161900
69,6100,10177600
70,12900,8481900
71,7300,9324500
72,6100,9088800
73,6100,8734000
74,6600,8688200
75,6400,7567000
76,6200,9593000
77,6300,7551000
78,6800,10636300
79,6200,8832200
80,6100,7568400
81,6500,8677500
82,6000,7667700
83,6200,9103600
84,6000,7682400
85,6200,8574000
86,12700,7488600
87,6900,9968300
88,6700,8213000
89,6500,10087900
90,6200,8833000
91,12500,8090800
92,6100,9923500
93,12600,7772300
94,6000,9410600
95,7500,7863700
96,5900,8067300
97,6300,8648100
98,6100,8595200
99,6100,8577500
100,7200,8784800
101,12800,8240900
102,7600,8199600
103,5900,8144300
104,6400,9245000
105,6100,9441700
106,7700,11460300
107,23100,9335700
108,6400,9095500
109,7200,7758600
110,6100,9107400
111,7200,14203800
112,26000,10385100
113,12800,11111600
114,6400,9640600
115,6200,7890000
116,6000,9020000
117,6600,8152100
118,6900,9419900
119,6200,9127500
120,6600,8069800
121,19600,10680300
122,6400,8290300
123,6100,8352600
124,6800,8262700
125,6000,7754500
126,6500,8410400
127,6400,8729100
128,7500,7828800
129,6300,8598800
130,5900,7284000
131,5900,9389500
132,6300,8333300
133,6400,9869500
134,6100,8227300
135,11400,8474600
136,5900,8507100
137,12200,7947700
138,5900,8307200
139,12400,7503600
140,6300,8948200
141,6200,7680100
142,6000,9339300
143,6300,9330200
144,6300,8653700
145,6300,8589900
146,6300,10855700
147,6300,10010900
148,12700,10143900
149,6300,12963300
150,6600,9545200
151,12700,8097100
152,6300,10184100
153,6700,12365900
154,7100,9754500
155,6300,11666600
156,6300,9138000
157,6200,8335100
158,6300,8214400
159,6300,7505800
160,6400,8976700
161,6500,7878300
162,6100,9478600
163,12700,7978600
164,7000,8314800
165,6100,8394900
166,7300,9939100
167,13200,10042600
168,12700,8002200
169,6000,9401000
170,6200,8142600
171,6100,8528800
172,19400,7971400
173,6400,8413400
174,6100,8127100
175,6300,8708900
176,6600,8516300
177,9800,9479400
178,6400,8708800
179,6200,8617200
180,6400,8615200
181,6200,7804800
182,6100,9359800
183,6100,7683700
184,6300,9003900
185,6100,7558600
186,6000,9112200
187,6100,7784300
188,6000,8743600
189,6100,7523000
190,6200,8652200
191,6100,7978400
192,6200,8406600
193,6100,8093800
194,6400,8328300
195,6200,8134700
196,6800,8164100
197,6100,9239200
198,6400,7903100
199,12900,10522800
200,6900,7884900
201,6100,9230700
202,5900,7806600
203,6000,8427400
204,19100,8204100
205,6500,8575300
206,6000,7573200
207,6900,9239600
208,6300,8775000
209,6100,7745400
210,6100,8482000
211,5900,8113100
212,19600,8778600
213,19100,8432500
214,6100,9098500
215,6000,7695700
216,6000,9769300
217,6600,7958800
218,6300,9040600
219,6500,8067600
220,7200,11155900
221,6000,9131800
222,7100,8852700
223,6400,9653000
224,6100,8057000
225,19500,8949700
226,6400,7841500
227,25600,8460000
228,6200,8027200
229,6600,7533200
230,6000,7877400
231,9000,9618600
232,5900,8123100
233,6100,10476900
234,6300,10866100
235,6300,7636700
236,6300,8533300
237,6200,7555100
238,6800,8969000
239,6100,7459200
240,7400,8991500
241,5900,8292600
242,5900,7618000
243,5800,8362600
244,7200,8515700
245,6200,10487300
246,6900,9405200
247,12400,9339000
248,6100,8690300
249,13300,8109400
250,6200,8600900
251,8600,7978400
252,6200,8605400
253,6100,7753600
254,6000,8486700
255,5900,8170200
256,6300,8338700
257,6300,8176600
258,13100,8935100
259,6400,9785500
260,6800,8787100
261,12400,7609700
262,6500,9314600
263,6200,8147700
264,15400,8398200
265,6200,8145000
266,6200,8312400
267,6100,8708300
268,6100,8793600
269,6400,9260500
270,6400,7519900
271,7000,9129800
272,6200,7779200
273,7300,8599600
274,6100,7844800
275,6100,8511700
276,6400,8121500
277,7000,8492400
278,6100,8560700
279,10800,7997800
280,6200,9184000
281,26500,7690300
282,6000,8508900
283,6100,8267100
284,6200,8465900
285,6100,8045000
286,6100,8523800
287,6300,10001400
288,6400,10908000
289,6200,11622700
290,6400,7581100
291,6200,9394600
292,6500,7776800
293,6300,12237300
294,6200,11307600
295,6300,7695200
296,12400,11571200
297,6800,10859100
298,6300,7712600
299,6300,9044900
300,9500,7355800
301,6100,8392500
302,6100,7581300
303,5900,9510400
304,6300,8093200
305,6800,8351100
306,6300,8482600
307,6200,8481400
308,6100,8447900
309,6500,7690300
310,6200,8135600
311,7000,8463500
312,6700,7725200
313,6700,9284900
314,6300,8945100
315,16500,8196400
316,6700,9428700
317,7300,8173800
318,6100,9603000
319,6100,7607400
320,6300,8459900
321,6200,7498600
322,12300,9396000
323,6200,7703700
324,6600,8975500
325,6200,7952600
326,6900,8985600
327,6300,8684100
328,17400,8506800
329,6200,8086200
330,6400,8218700
331,6200,10801900
332,7000,13181000
333,6700,8451100
334,6400,9663700
335,12500,9000300
336,7400,11847100
337,6200,11247400
338,6500,8142800
339,6200,9722200
340,6500,8104700
341,12800,8994600
342,6200,8181800
343,7000,10003800
344,12200,9654700
345,6300,7876300
346,6400,11048900
347,6300,8552600
348,7600,8383800
349,6700,9797400
350,6400,7975600
351,6100,8849200
352,6100,8151200
353,29800,9765000
354,6200,8127200
355,6300,11049900
356,6600,10931300
357,21800,8988400
358,6800,8648900
359,6700,7711400
360,12200,11304500
361,7400,12746800
362,6700,9078500
363,6400,10175100
364,6800,13564700
365,6200,7859800
366,6000,9446800
367,6300,7631700
368,6100,8458800
369,6500,7750100
370,6200,7909500
371,6500,7754900
372,6300,8771600
373,6100,7731500
374,6000,8932000
375,6100,7845700
376,6200,12659000
377,6500,11336900
378,6400,10827700
379,8200,8387600
380,6500,9644400
381,6400,9148600
382,6400,10351600
383,6400,9104000
384,6500,12137400
385,6300,8448500
386,6400,8070700
387,13100,8296300
388,7200,8072700
389,6500,8846200
390,6800,11374300
391,12400,9115600
392,6400,7962300
393,7100,8541100
394,12300,8719600
395,6500,8717000
396,6100,8618100
397,6200,7953800
398,6100,9809800
399,6400,7937000
400,6100,8754700
401,6400,7661000
402,7000,14042400
403,12900,10868400
404,6200,8278300
405,6300,8537400
406,6400,7671700
407,6000,9159000
408,6200,8479300
409,6400,8504300
410,6500,7648700
411,6100,10723400
412,6200,8577900
413,6500,7755700
414,6300,7878900
415,6400,8253500
416,6700,8252100
417,6500,7767600
418,6100,9801300
419,6900,8267200
420,12000,9734000
421,6100,7388100
422,5800,8957900
423,6000,7437700
424,6300,10063200
425,6100,9027000
426,9800,8391800
427,6200,8851500
428,6000,7961100
429,6200,9381300
430,6200,9083900
431,6300,9442800
432,6200,9583800
433,9900,9352800
434,6100,8195100
435,6000,8937300
436,27800,8323400
437,5900,8467000
438,6100,9029300
439,8300,7809200
440,6100,8157800
441,6100,8579200
442,6300,8240300
443,6100,8508200
444,6200,9899500
445,24100,7935200
446,12400,9646200
447,6200,8884100
448,7000,9118300
449,12400,8436700
450,6500,8091300
451,26300,8431900
452,6500,8026100
453,6000,9081100
454,5900,7543300
455,5900,9449100
456,6100,8058000
457,5800,8751600
458,6000,7617700
459,6100,9044500
460,21700,7637400
461,6100,9106300
462,6200,8408400
463,6200,8124200
464,6200,7808100
465,5900,8744000
466,27900,8122200
467,6400,9430700
468,6500,8343700
469,6500,7684900
470,5800,8864400
471,9300,8840900
472,6100,8784100
473,8800,7736500
474,6600,9022200
475,6300,7544000
476,6200,8919500
477,6100,7653300
478,6000,9067600
479,6200,7491000
480,6100,9583200
481,6200,8969700
482,6800,8704800
483,6100,8437400
484,6800,11672400
485,6300,11258000
486,6200,9552400
487,6800,8766700
488,6300,9021400
489,6200,7858900
490,6200,8215100
491,6200,8223400
492,6300,8497000
493,6300,8783000
494,12400,8520300
495,8000,8908700
496,6500,10026300
497,6900,8526100
498,7000,8971100
499,6300,8249500
500,6500,8299000
501,26900,9247700
502,21800,12728900
503,6200,9445300
504,6200,8500400
505,11200,7913100
506,6500,8059500
507,26500,7831600
508,6000,8712800
509,16800,7778700
510,7100,8390300
511,6300,7586600
512,12100,8918900
513,6200,7968600
514,6000,9240200
515,6200,8337000
516,6300,9988300
517,7100,8456500
518,6600,8917600
519,6400,8234100
520,7400,8994200
521,6500,7835400
522,6900,9044200
523,8300,7808800
524,6500,8060200
525,6200,7972300
526,6100,8974900
527,6600,9055000
528,7400,9097400
529,6400,8596500
530,6200,7904200
531,6000,10410300
532,6600,9141000
533,6400,9112600
534,6200,8981700
535,6100,8138700
536,6300,9900500
537,7000,8379100
538,6600,11398000
539,6200,8174800
540,6800,11285700
541,26200,10662800
542,6500,9111800
543,6200,8077400
544,6300,8041300
545,6400,9942700
546,6400,7500900
547,6400,15287400
548,6400,9817700
549,6000,7517900
550,5900,10874000
551,7000,8185600
552,6100,8097200
553,12500,8467600
554,6400,8524400
555,6600,9091800
556,6200,7998700
557,6100,8348200
558,6300,7683300
559,6000,9137000
560,6300,7583200
561,12700,8830000
562,6400,8368600
563,6200,9625400
564,27400,7718200
565,5900,9304000
566,6300,8064600
567,6500,8528500
568,7100,9040800
569,6600,9471100
570,6600,9513100
571,6100,8451100
572,6400,9292600
573,6200,7608600
574,6200,8549200
575,8600,7473600
576,6000,9746200
577,6200,7689400
578,6100,8616900
579,6000,7643700
580,11800,10211900
581,6100,7630200
582,6300,10606200
583,6400,8988700
584,6400,8468300
585,6000,8947100
586,8600,13657500
587,7100,11909900
588,12200,9662500
589,6200,7893100
590,6100,7797900
591,12800,7880100
592,6200,8975300
593,6200,10017500
594,6700,10796300
595,30000,9183700
596,6200,7850700
597,6100,9061100
598,6600,8351900
599,6100,9128700
600,6200,7612900
601,5900,10021000
602,12600,7566700
603,6300,13992700
604,6400,10530700
605,6200,7849400
606,13300,9673000
607,6300,8574200
608,7300,9260400
609,6500,8586700
610,13000,8308400
611,12200,10212800
612,6300,7565400
613,21400,8640800
614,6100,7923400
615,6900,9798000
616,23800,7774500
617,6100,13084700
618,19400,9492200
619,12400,8098800
620,6600,8887200
621,6200,8186500
622,6100,8836000
623,6100,7681000
624,6100,7909300
625,6200,8628800
626,6200,8658800
627,6300,7923100
628,6800,12906300
629,6400,9083600
630,6300,9690200
631,12300,9362100
632,7800,7450900
633,21000,9110900
634,6100,7475000
635,6400,9343100
636,6000,7712800
637,6000,9406800
638,13400,12252200
639,7100,8835900
640,6400,7892300
641,6100,8067600
642,12200,8617500
643,6100,7711500
644,5900,9027300
645,6000,7919600
646,5900,9125700
647,6200,7659100
648,6200,8346500
649,6100,8947400
650,6200,7950800
651,6100,7429500
652,6700,9611600
653,6200,7932300
654,7300,10040900
655,6200,8160200
656,6200,7919400
657,6100,7938000
658,6300,8206500
659,6100,9392600
660,6300,8040700
661,6100,8935100
662,6100,7563100
663,5900,10813800
664,6100,7520200
665,6000,8599000
666,6100,9081800
667,6600,8747700
668,27600,9154800
